Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV F1 (mean),CV F1 (std)
Decision Tree,0.9946,0.9936,0.9951,0.9943,0.9999,0.994,0.0006
Random Forest,0.9977,0.999,0.9961,0.9975,1.0,0.9979,0.0002
